Window_Index,Anomaly_Scenario,True_Root_Sensor,Predicted_Root_Sensor,Match,Original_Score,Clamped_Score,Threshold,Score_Drop_Percent,Faithfulness_Passed,Validity_Passed,Sparsity,Latency_ms
813,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,3.00864,0.02275,0.12567,99.24,True,True,5,4.72
814,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,3.05824,0.02276,0.12567,99.26,True,True,5,4.66
815,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,3.08656,0.02108,0.12567,99.32,True,True,5,5.22
1741,A3_Heatwave,ambient_temp,ambient_temp,True,0.28281,0.04405,0.12567,84.42,True,True,5,4.9
1742,A3_Heatwave,ambient_temp,ambient_temp,True,0.24477,0.031,0.12567,87.33,True,True,2,4.56
1743,A3_Heatwave,ambient_temp,ambient_temp,True,0.22422,0.02627,0.12567,88.28,True,True,2,5.07
1744,A3_Heatwave,ambient_temp,ambient_temp,True,0.22455,0.02253,0.12567,89.97,True,True,2,5.23
1745,A3_Heatwave,ambient_temp,ambient_temp,True,0.2035,0.01794,0.12567,91.18,True,True,2,4.71
1746,A3_Heatwave,ambient_temp,ambient_temp,True,0.1979,0.01827,0.12567,90.77,True,True,2,5.31
1747,A3_Heatwave,ambient_temp,ambient_temp,True,0.20212,0.02332,0.12567,88.46,True,True,2,4.57
1748,A3_Heatwave,ambient_temp,ambient_temp,True,0.20997,0.01734,0.12567,91.74,True,True,2,5.16
1749,A3_Heatwave,ambient_temp,ambient_temp,True,0.23986,0.04659,0.12567,80.57,True,True,2,4.63
1750,A3_Heatwave,ambient_temp,ambient_temp,True,0.2406,0.051,0.12567,78.8,True,True,4,4.67
1751,A3_Heatwave,ambient_temp,ambient_temp,True,0.22131,0.02742,0.12567,87.61,True,True,3,4.97
1752,A3_Heatwave,ambient_temp,ambient_temp,True,0.21618,0.03252,0.12567,84.96,True,True,3,5.58
1753,A3_Heatwave,ambient_temp,ambient_temp,True,0.23127,0.02602,0.12567,88.75,True,True,3,5.05
1754,A3_Heatwave,ambient_temp,ambient_temp,True,0.23547,0.04297,0.12567,81.75,True,True,4,4.95
1755,A3_Heatwave,ambient_temp,ambient_temp,True,0.24918,0.02824,0.12567,88.67,True,True,6,4.61
1756,A3_Heatwave,ambient_temp,ambient_temp,True,0.25751,0.0269,0.12567,89.55,True,True,6,5.16
1757,A3_Heatwave,ambient_temp,ambient_temp,True,0.24644,0.02255,0.12567,90.85,True,True,4,4.69
1758,A3_Heatwave,ambient_temp,ambient_temp,True,0.26562,0.03252,0.12567,87.76,True,True,3,5.03
1759,A3_Heatwave,ambient_temp,ambient_temp,True,0.2692,0.03401,0.12567,87.37,True,True,3,4.6
1760,A3_Heatwave,ambient_temp,ambient_temp,True,0.25944,0.02295,0.12567,91.15,True,True,2,4.84
1761,A3_Heatwave,ambient_temp,ambient_temp,True,0.25452,0.03458,0.12567,86.42,True,True,2,4.73
1762,A3_Heatwave,ambient_temp,ambient_temp,True,0.25741,0.02364,0.12567,90.81,True,True,2,4.59
1763,A3_Heatwave,ambient_temp,ambient_temp,True,0.25956,0.02437,0.12567,90.61,True,True,2,4.54
1764,A3_Heatwave,ambient_temp,ambient_temp,True,0.25922,0.02838,0.12567,89.05,True,True,2,4.9
1765,A3_Heatwave,ambient_temp,ambient_temp,True,0.2706,0.0349,0.12567,87.1,True,True,2,4.59
1766,A3_Heatwave,ambient_temp,ambient_temp,True,0.26883,0.03252,0.12567,87.9,True,True,2,5.24
1767,A3_Heatwave,ambient_temp,ambient_temp,True,0.27491,0.03513,0.12567,87.22,True,True,2,4.61
1768,A3_Heatwave,ambient_temp,ambient_temp,True,0.26895,0.03188,0.12567,88.15,True,True,2,4.93
1769,A3_Heatwave,ambient_temp,ambient_temp,True,0.28367,0.03044,0.12567,89.27,True,True,2,5.23
1770,A3_Heatwave,ambient_temp,ambient_temp,True,0.29233,0.04357,0.12567,85.09,True,True,2,4.72
1771,A3_Heatwave,ambient_temp,ambient_temp,True,0.27842,0.03638,0.12567,86.93,True,True,2,4.59
1772,A3_Heatwave,ambient_temp,ambient_temp,True,0.28968,0.03866,0.12567,86.66,True,True,2,5.25
1773,A3_Heatwave,ambient_temp,ambient_temp,True,0.27941,0.03403,0.12567,87.82,True,True,2,5.01
1774,A3_Heatwave,ambient_temp,ambient_temp,True,0.29157,0.03525,0.12567,87.91,True,True,2,4.62
1775,A3_Heatwave,ambient_temp,ambient_temp,True,0.29796,0.03485,0.12567,88.31,True,True,2,5.23
1776,A3_Heatwave,ambient_temp,ambient_temp,True,0.29475,0.03521,0.12567,88.06,True,True,2,4.6
1777,A3_Heatwave,ambient_temp,ambient_temp,True,0.30858,0.02426,0.12567,92.14,True,True,2,5.04
1778,A3_Heatwave,ambient_temp,ambient_temp,True,0.3093,0.044,0.12567,85.78,True,True,2,5.15
1779,A3_Heatwave,ambient_temp,ambient_temp,True,0.31341,0.0407,0.12567,87.01,True,True,2,5.1
1780,A3_Heatwave,ambient_temp,ambient_temp,True,0.30232,0.02892,0.12567,90.43,True,True,2,5.26
2341,A4_Sensor_Glitch,vibration,vibration,True,141.87268,0.05626,0.12567,99.96,True,True,2,5.18
2342,A4_Sensor_Glitch,vibration,vibration,True,144.92657,0.05744,0.12567,99.96,True,True,2,4.67
2343,A4_Sensor_Glitch,vibration,vibration,True,147.69438,0.02983,0.12567,99.98,True,True,5,4.71
2344,A4_Sensor_Glitch,vibration,vibration,True,148.50008,0.02569,0.12567,99.98,True,True,5,4.67
2345,A4_Sensor_Glitch,vibration,vibration,True,150.40509,0.02362,0.12567,99.98,True,True,1,4.57
2346,A4_Sensor_Glitch,vibration,vibration,True,153.92563,0.0217,0.12567,99.99,True,True,1,4.63
2347,A4_Sensor_Glitch,vibration,vibration,True,157.31458,0.02233,0.12567,99.99,True,True,1,4.62
2348,A4_Sensor_Glitch,vibration,vibration,True,158.77716,0.02136,0.12567,99.99,True,True,1,4.75
2349,A4_Sensor_Glitch,vibration,vibration,True,160.02533,0.02125,0.12567,99.99,True,True,1,5.19
2350,A4_Sensor_Glitch,vibration,vibration,True,164.46202,0.02116,0.12567,99.99,True,True,1,4.58
2351,A4_Sensor_Glitch,vibration,vibration,True,165.54668,0.02118,0.12567,99.99,True,True,1,4.79
2352,A4_Sensor_Glitch,vibration,vibration,True,167.00005,0.02139,0.12567,99.99,True,True,1,4.61
2353,A4_Sensor_Glitch,vibration,vibration,True,170.93716,0.02091,0.12567,99.99,True,True,1,4.98
2354,A4_Sensor_Glitch,vibration,vibration,True,171.64333,0.02086,0.12567,99.99,True,True,1,5.24
2355,A4_Sensor_Glitch,vibration,vibration,True,174.11681,0.02141,0.12567,99.99,True,True,1,4.71
2356,A4_Sensor_Glitch,vibration,vibration,True,177.2361,0.02061,0.12567,99.99,True,True,2,5.04
2357,A4_Sensor_Glitch,vibration,vibration,True,179.14163,0.02134,0.12567,99.99,True,True,3,5.1
2358,A4_Sensor_Glitch,vibration,vibration,True,181.51167,0.02111,0.12567,99.99,True,True,4,4.68
2359,A4_Sensor_Glitch,vibration,vibration,True,183.85625,0.02237,0.12567,99.99,True,True,4,4.71
2360,A4_Sensor_Glitch,vibration,vibration,True,186.81909,0.02157,0.12567,99.99,True,True,4,4.63
2361,A4_Sensor_Glitch,vibration,vibration,True,187.18613,0.02086,0.12567,99.99,True,True,4,4.52
2362,A4_Sensor_Glitch,vibration,vibration,True,191.03731,0.02141,0.12567,99.99,True,True,4,4.69
2363,A4_Sensor_Glitch,vibration,vibration,True,193.04074,0.02211,0.12567,99.99,True,True,5,4.65
2364,A4_Sensor_Glitch,vibration,vibration,True,195.12503,0.02203,0.12567,99.99,True,True,4,4.54
2365,A4_Sensor_Glitch,vibration,vibration,True,197.46779,0.02172,0.12567,99.99,True,True,3,5.25
3361,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.21554,0.04403,0.12567,79.57,True,True,3,4.65
3362,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.24097,0.04859,0.12567,79.84,True,True,4,4.72
3363,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.24414,0.04833,0.12567,80.2,True,True,4,4.58
3364,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.23772,0.04305,0.12567,81.89,True,True,3,4.55
3365,A5_Spindle_Overload,spindle_speed,spindle_speed,True,0.20616,0.03633,0.12567,82.38,True,True,3,5.02
